Years,Precinct,Occurrences,Area
2020,1,0,WTC/Soho/Wall Street
2020,5,2,Chinatown/Little Italy
2020,6,2,Greenwich/West Village
2020,7,5,Williamsburg Bridge
2020,9,1,East Village
2020,10,3,Chelsea/Hudson Yards
2020,13,1,Stuy Town/Gramercy Park/Flatiron
2020,14,0,Midtown South/W34th
2020,17,0,Murray Hill/Turtle Bay
2020,18,2,Midtown South
2020,19,1,Lenox Hill/Yorkville
2020,20,0,Upper West Side/Lincoln Center
2020,22,0,Central Park
2020,23,3,East Harlem
2020,24,0,Manhattan Valley
2020,25,0,Marcus Garvey Park
2020,26,0,Morningside Heights/Columbia University
2020,28,1,Central Harlem
2020,30,1,Hamilton Heights
2020,32,1,Northeastern Harlem
2020,33,0,Washington Heights
2020,34,0,Washington Heights/Inwood
2020,40,3,Port Morris/Mott Haven
2020,41,0,Hunts Point/Longwood
2020,42,0,Morrisania
2020,43,0,Southeast Bronx
2020,44,4,Grand Concourse/Yankee Stadium
2020,45,0,Co-op City/City Island
2020,46,1,Fordham/University Heights
2020,47,0,Woodlawn/Wakefield/Baychester
2020,48,1,Belmont/East Tremont/West Farms
2020,49,2,Allerton/Morris Park/Van Nest
2020,50,0,Riverdale/Fieldston/Kingbridge
2020,52,0,Bedford Park/Norwood/Bronx Park
2020,60,6,Coney Island/Brighton Beach/Sea Gate
2020,61,5,Kings Bay/Gravesend/Sheepshead
2020,62,0,Bensonhurst/Mapleton
2020,63,0,Marine Park
2020,66,2,Midwood/Kensington
2020,67,1,East Flatbush/Remsen Village
2020,68,0,Bay Ridge/Dyker Heights
2020,69,0,Avenue L/Rockaway Parkway
2020,70,2,Midwood/Fiske Terrace/Ditmas Park
2020,71,1,Crown Heights
2020,72,1,Sunset Park
2020,73,0,Brownsville
2020,75,1,Cypress Hills
2020,76,0,Carroll Gardens/Red Hook
2020,77,0,Prospect Heights
2020,78,1,Prospect Park
2020,79,1,Bedford Stuyvesant
2020,81,2,Stuyvesant Heights
2020,83,0,Bushwick
2020,84,4,Brooklyn Heights
2020,88,1,Clinton Hill/Fort Green Park
2020,90,5,Williamsburg/East Williamsburg
2020,94,1,Greenpoint
2020,100,4,Rockaway Peninsula/Park/Beach
2020,101,2,Far Rockaway/Bayswater
2020,102,4,Kew Gardens/Richmond Hill
2020,103,0,Jamaica Business District
2020,104,0,Ridgewood/Glendale
2020,105,0,Queens Village/Cambria Heights
2020,106,0,Ozone Park/Lindenwood
2020,107,1,Fresh Meadows/Cunningham Heights
2020,108,0,Long Island City/Sunnyside/Woodside
2020,109,0,Downtown Flushing/East Flushing
2020,110,1,Corona/Elmhurst
2020,111,1,Bayside/Douglaston
2020,112,4,Forest Hills/Rego Park
2020,113,0,Jamaica/St. Albans/Hollis
2020,114,2,Astoria/Woodside
2020,115,1,Jackson Heights/East Elmhurst
2020,120,5,North Shore
2020,121,0,Willowbrook/Westerleigh
2020,122,0,Eltingville/Great Kills
2020,123,0,Tottenville/Huguenot
