Years,Precinct,Occurrences,Area,Percentage
2021,1,2,WTC/Soho/Wall Street,0.010810811
2021,5,5,Chinatown/Little Italy,0.027027027
2021,6,1,Greenwich/West Village,0.005405405
2021,7,27,Williamsburg Bridge,0.145945946
2021,9,2,East Village,0.010810811
2021,10,1,Chelsea/Hudson Yards,0.005405405
2021,13,6,Stuy Town/Gramercy Park/Flatiron,0.032432432
2021,14,10,Midtown South/W34th,0.054054054
2021,17,0,Murray Hill/Turtle Bay,0
2021,18,1,Midtown South,0.005405405
2021,19,4,Lenox Hill/Yorkville,0.021621622
2021,20,0,Upper West Side/Lincoln Center,0
2021,22,1,Central Park,0.005405405
2021,23,0,East Harlem,0
2021,24,3,Manhattan Valley,0.016216216
2021,25,5,Marcus Garvey Park,0.027027027
2021,26,3,Morningside Heights/Columbia University,0.016216216
2021,28,0,Central Harlem,0
2021,30,1,Hamilton Heights,0.005405405
2021,32,2,Northeastern Harlem,0.010810811
2021,33,0,Washington Heights,0
2021,34,0,Washington Heights/Inwood,0
2021,40,1,Port Morris/Mott Haven,0.005405405
2021,41,0,Hunts Point/Longwood,0
2021,42,1,Morrisania,0.005405405
2021,43,0,Southeast Bronx,0
2021,44,0,Grand Concourse/Yankee Stadium,0
2021,45,0,Co-op City/City Island,0
2021,46,0,Fordham/University Heights,0
2021,47,1,Woodlawn/Wakefield/Baychester,0.005405405
2021,48,0,Belmont/East Tremont/West Farms,0
2021,49,0,Allerton/Morris Park/Van Nest,0
2021,50,13,Riverdale/Fieldston/Kingbridge,0.07027027
2021,52,1,Bedford Park/Norwood/Bronx Park,0.005405405
2021,60,1,Coney Island/Brighton Beach/Sea Gate,0.005405405
2021,61,2,Kings Bay/Gravesend/Sheepshead,0.010810811
2021,62,5,Bensonhurst/Mapleton,0.027027027
2021,63,0,Marine Park,0
2021,66,10,Midwood/Kensington,0.054054054
2021,67,0,East Flatbush/Remsen Village,0
2021,68,1,Bay Ridge/Dyker Heights,0.005405405
2021,69,0,Avenue L/Rockaway Parkway,0
2021,70,1,Midwood/Fiske Terrace/Ditmas Park,0.005405405
2021,71,2,Crown Heights,0.010810811
2021,72,3,Sunset Park,0.016216216
2021,73,0,Brownsville,0
2021,75,1,Cypress Hills,0.005405405
2021,76,1,Carroll Gardens/Red Hook,0.005405405
2021,77,1,Prospect Heights,0.005405405
2021,78,1,Prospect Park,0.005405405
2021,79,2,Bedford Stuyvesant,0.010810811
2021,81,1,Stuyvesant Heights,0.005405405
2021,83,2,Bushwick,0.010810811
2021,84,2,Brooklyn Heights,0.010810811
2021,88,0,Clinton Hill/Fort Green Park,0
2021,90,9,Williamsburg/East Williamsburg,0.048648649
2021,94,0,Greenpoint,0
2021,100,1,Rockaway Peninsula/Park/Beach,0.005405405
2021,101,0,Far Rockaway/Bayswater,0
2021,102,5,Kew Gardens/Richmond Hill,0.027027027
2021,103,5,Jamaica Business District,0.027027027
2021,104,1,Ridgewood/Glendale,0.005405405
2021,105,0,Queens Village/Cambria Heights,0
2021,106,0,Ozone Park/Lindenwood,0
2021,107,6,Fresh Meadows/Cunningham Heights,0.032432432
2021,108,0,Long Island City/Sunnyside/Woodside,0
2021,109,4,Downtown Flushing/East Flushing,0.021621622
2021,110,6,Corona/Elmhurst,0.032432432
2021,111,0,Bayside/Douglaston,0
2021,112,3,Forest Hills/Rego Park,0.016216216
2021,113,0,Jamaica/St. Albans/Hollis,0
2021,114,2,Astoria/Woodside,0.010810811
2021,115,3,Jackson Heights/East Elmhurst,0.016216216
2021,120,9,North Shore,0.048648649
2021,121,0,Willowbrook/Westerleigh,0
2021,122,3,Eltingville/Great Kills,0.016216216
2021,123,1,Tottenville/Huguenot,0.005405405
